"pars" "rmse" "lambdas_df" "gamma_df" "mtry_df" "dataset" "model" "good" "bad"
"238" 104 0.46355134347378 0.5 0.5 15 2 "boosted_rf" 0.65 0.955555555555556
"239" 100 0.46060049226904 0.5 0.7495 15 2 "boosted_rf" 0.678571428571429 0.955555555555556
"240" 99 0.455047107143353 0.5 0.999 15 2 "boosted_rf" 0.690909090909091 0.955555555555556
"241" 185 0.460175258819612 0.7 0.001 15 2 "boosted_rf" 0.635761589403974 0.733333333333333
"242" 137 0.462458368083476 0.7 0.2505 15 2 "boosted_rf" 0.617021276595745 0.933333333333333
"243" 113 0.458622719939581 0.7 0.5 15 2 "boosted_rf" 0.605633802816901 0.911111111111111
"244" 98 0.453380909704283 0.7 0.7495 15 2 "boosted_rf" 0.740740740740741 0.955555555555556
"245" 102 0.454068431575052 0.7 0.999 15 2 "boosted_rf" 0.672413793103448 0.955555555555556
"246" 239 0.454532519770514 0.9 0.001 15 2 "boosted_rf" 0.63 0.844444444444444
"247" 192 0.464400308202024 0.9 0.2505 15 2 "boosted_rf" 0.630872483221476 0.933333333333333
"248" 127 0.457527755739326 0.9 0.5 15 2 "boosted_rf" 0.630952380952381 0.933333333333333
"249" 103 0.451443863340898 0.9 0.7495 15 2 "boosted_rf" 0.610169491525424 0.955555555555556
"250" 98 0.458804427544957 0.9 0.999 15 2 "boosted_rf" 0.740740740740741 0.955555555555556
"251" 41 0.468932420443403 0.1 0.001 45 2 "boosted_rf" 0.695652173913043 0.377777777777778
"252" 40 0.489879605489411 0.1 0.2505 45 2 "boosted_rf" 0.5 0.777777777777778
"253" 45 0.485606741048869 0.1 0.5 45 2 "boosted_rf" 0.666666666666667 0.844444444444444
"254" 42 0.505783039034361 0.1 0.7495 45 2 "boosted_rf" 0.333333333333333 0.844444444444444
"255" 41 0.505910377291407 0.1 0.999 45 2 "boosted_rf" 0.333333333333333 0.822222222222222
"256" 49 0.457232033921891 0.3 0.001 45 2 "boosted_rf" 0.645161290322581 0.377777777777778
"257" 47 0.461665329988576 0.3 0.2505 45 2 "boosted_rf" 0.666666666666667 0.622222222222222
"258" 47 0.468001180898102 0.3 0.5 45 2 "boosted_rf" 0.692307692307692 0.733333333333333
"259" 40 0.462124702224622 0.3 0.7495 45 2 "boosted_rf" 0.625 0.688888888888889
"260" 41 0.496757972020221 0.3 0.999 45 2 "boosted_rf" 0.333333333333333 0.822222222222222
"261" 76 0.45666272860298 0.5 0.001 45 2 "boosted_rf" 0.60655737704918 0.311111111111111
"262" 61 0.451802625283715 0.5 0.2505 45 2 "boosted_rf" 0.567567567567568 0.511111111111111
"263" 51 0.454293748394482 0.5 0.5 45 2 "boosted_rf" 0.666666666666667 0.577777777777778
"264" 46 0.461703756893284 0.5 0.7495 45 2 "boosted_rf" 0.714285714285714 0.688888888888889
"265" 42 0.477767068447059 0.5 0.999 45 2 "boosted_rf" 0.6 0.8
"266" 127 0.448055854621278 0.7 0.001 45 2 "boosted_rf" 0.625 0.311111111111111
"267" 81 0.45571343551676 0.7 0.2505 45 2 "boosted_rf" 0.694915254237288 0.466666666666667
"268" 56 0.454180851547867 0.7 0.5 45 2 "boosted_rf" 0.65625 0.511111111111111
"269" 50 0.466962048788698 0.7 0.7495 45 2 "boosted_rf" 0.55 0.644444444444444
"270" 41 0.488021967853361 0.7 0.999 45 2 "boosted_rf" 0.333333333333333 0.822222222222222
"271" 212 0.452422867818684 0.9 0.001 45 2 "boosted_rf" 0.638743455497382 0.444444444444444
"272" 117 0.454421408253503 0.9 0.2505 45 2 "boosted_rf" 0.666666666666667 0.377777777777778
"273" 73 0.457535076188413 0.9 0.5 45 2 "boosted_rf" 0.714285714285714 0.511111111111111
"274" 51 0.456330627936414 0.9 0.7495 45 2 "boosted_rf" 0.695652173913043 0.6
"275" 42 0.479201751963886 0.9 0.999 45 2 "boosted_rf" 0.6 0.8
"276" 28 0.466530945495089 0.1 0.001 75 2 "boosted_rf" 0.875 0.244444444444444
"277" 27 0.480222616383967 0.1 0.2505 75 2 "boosted_rf" 0.666666666666667 0.444444444444444
